cellname	file_path	stage	celltype
GasaE751001	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998595_GasaE751001.pairs.gz	E75	ExE ectoderm
GasaE751006	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998600_GasaE751006.pairs.gz	E75	ExE endoderm
GasaE751008	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998602_GasaE751008.pairs.gz	E75	blood
GasaE751010	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998604_GasaE751010.pairs.gz	E75	neural ectoderm
GasaE751011	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998605_GasaE751011.pairs.gz	E75	ExE ectoderm
GasaE751013	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998607_GasaE751013.pairs.gz	E75	mitosis
GasaE751016	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998610_GasaE751016.pairs.gz	E75	ExE endoderm
GasaE751017	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998611_GasaE751017.pairs.gz	E75	early mesoderm
GasaE751020	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998614_GasaE751020.pairs.gz	E75	endoderm
GasaE751023	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998617_GasaE751023.pairs.gz	E75	blood
GasaE751025	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998619_GasaE751025.pairs.gz	E75	ExE mesoderm
GasaE751026	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998620_GasaE751026.pairs.gz	E75	blood
GasaE751031	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998625_GasaE751031.pairs.gz	E75	early mesenchyme
GasaE751033	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998626_GasaE751033.pairs.gz	E75	ExE endoderm
GasaE751034	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998627_GasaE751034.pairs.gz	E75	blood
