filename,chromosome_count,cellname,stage,celltype,filepath
GSM6998595,20,GasaE751001,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998595_GasaE751001.pairs.gz
GSM6998600,20,GasaE751006,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998600_GasaE751006.pairs.gz
GSM6998602,20,GasaE751008,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998602_GasaE751008.pairs.gz
GSM6998604,20,GasaE751010,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998604_GasaE751010.pairs.gz
GSM6998605,20,GasaE751011,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998605_GasaE751011.pairs.gz
GSM6998607,20,GasaE751013,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998607_GasaE751013.pairs.gz
GSM6998610,20,GasaE751016,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998610_GasaE751016.pairs.gz
GSM6998611,20,GasaE751017,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998611_GasaE751017.pairs.gz
GSM6998614,20,GasaE751020,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998614_GasaE751020.pairs.gz
GSM6998617,20,GasaE751023,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998617_GasaE751023.pairs.gz
GSM6998619,20,GasaE751025,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998619_GasaE751025.pairs.gz
GSM6998620,20,GasaE751026,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998620_GasaE751026.pairs.gz
GSM6998625,20,GasaE751031,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998625_GasaE751031.pairs.gz
GSM6998626,20,GasaE751033,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998626_GasaE751033.pairs.gz
GSM6998627,20,GasaE751034,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998627_GasaE751034.pairs.gz
GSM6998631,20,GasaE751038,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998631_GasaE751038.pairs.gz
GSM6998632,20,GasaE751039,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998632_GasaE751039.pairs.gz
GSM6998633,20,GasaE751040,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998633_GasaE751040.pairs.gz
GSM6998636,20,GasaE751043,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998636_GasaE751043.pairs.gz
GSM6998638,20,GasaE751045,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998638_GasaE751045.pairs.gz
GSM6998639,20,GasaE751046,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998639_GasaE751046.pairs.gz
GSM6998640,20,GasaE751047,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998640_GasaE751047.pairs.gz
GSM6998647,20,GasaE751054,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998647_GasaE751054.pairs.gz
GSM6998648,20,GasaE751055,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998648_GasaE751055.pairs.gz
GSM6998649,20,GasaE751056,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998649_GasaE751056.pairs.gz
GSM6998650,20,GasaE751057,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998650_GasaE751057.pairs.gz
GSM6998651,20,GasaE751058,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998651_GasaE751058.pairs.gz
GSM6998652,20,GasaE751059,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998652_GasaE751059.pairs.gz
GSM6998654,20,GasaE751061,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998654_GasaE751061.pairs.gz
GSM6998655,20,GasaE751062,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998655_GasaE751062.pairs.gz
GSM6998657,20,GasaE751064,E75,epiblast and PS,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998657_GasaE751064.pairs.gz
GSM6998660,20,GasaE751067,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998660_GasaE751067.pairs.gz
GSM6998664,20,GasaE751071,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998664_GasaE751071.pairs.gz
GSM6998665,20,GasaE751072,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998665_GasaE751072.pairs.gz
GSM6998666,20,GasaE751073,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998666_GasaE751073.pairs.gz
GSM6998667,20,GasaE751074,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998667_GasaE751074.pairs.gz
GSM6998669,20,GasaE751076,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998669_GasaE751076.pairs.gz
GSM6998674,20,GasaE751081,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998674_GasaE751081.pairs.gz
GSM6998677,20,GasaE751084,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998677_GasaE751084.pairs.gz
GSM6998678,20,GasaE751085,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998678_GasaE751085.pairs.gz
GSM6998679,20,GasaE751086,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998679_GasaE751086.pairs.gz
GSM6998681,20,GasaE751088,E75,epithelial cells,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998681_GasaE751088.pairs.gz
GSM6998682,20,GasaE751089,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998682_GasaE751089.pairs.gz
GSM6998686,20,GasaE751094,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998686_GasaE751094.pairs.gz
GSM6998687,20,GasaE751095,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998687_GasaE751095.pairs.gz
GSM6998688,20,GasaE751096,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998688_GasaE751096.pairs.gz
GSM6998689,20,GasaE751097,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998689_GasaE751097.pairs.gz
GSM6998693,20,GasaE751101,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998693_GasaE751101.pairs.gz
GSM6998694,20,GasaE751102,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998694_GasaE751102.pairs.gz
GSM6998695,20,GasaE751103,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998695_GasaE751103.pairs.gz
GSM6998697,20,GasaE751105,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998697_GasaE751105.pairs.gz
GSM6998699,20,GasaE751107,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998699_GasaE751107.pairs.gz
GSM6998700,20,GasaE751108,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998700_GasaE751108.pairs.gz
GSM6998701,20,GasaE751109,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998701_GasaE751109.pairs.gz
GSM6998706,20,GasaE751114,E75,epithelial cells,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998706_GasaE751114.pairs.gz
GSM6998707,20,GasaE751115,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998707_GasaE751115.pairs.gz
GSM6998708,20,GasaE751116,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998708_GasaE751116.pairs.gz
GSM6998709,20,GasaE751117,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998709_GasaE751117.pairs.gz
GSM6998710,20,GasaE751118,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998710_GasaE751118.pairs.gz
GSM6998712,20,GasaE751120,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998712_GasaE751120.pairs.gz
GSM6998713,20,GasaE751121,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998713_GasaE751121.pairs.gz
GSM6998714,20,GasaE751122,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998714_GasaE751122.pairs.gz
GSM6998715,20,GasaE751123,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998715_GasaE751123.pairs.gz
GSM6998717,20,GasaE751125,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998717_GasaE751125.pairs.gz
GSM6998720,20,GasaE751128,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998720_GasaE751128.pairs.gz
GSM6998722,20,GasaE751130,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998722_GasaE751130.pairs.gz
GSM6998726,20,GasaE751134,E75,epithelial cells,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998726_GasaE751134.pairs.gz
GSM6998727,20,GasaE751135,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998727_GasaE751135.pairs.gz
GSM6998731,20,GasaE751139,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998731_GasaE751139.pairs.gz
GSM6998732,20,GasaE751140,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998732_GasaE751140.pairs.gz
GSM6998735,20,GasaE751143,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998735_GasaE751143.pairs.gz
GSM6998736,20,GasaE751144,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998736_GasaE751144.pairs.gz
GSM6998737,20,GasaE751145,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998737_GasaE751145.pairs.gz
GSM6998738,20,GasaE751146,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998738_GasaE751146.pairs.gz
GSM6998739,20,GasaE751147,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998739_GasaE751147.pairs.gz
GSM6998741,20,GasaE751149,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998741_GasaE751149.pairs.gz
GSM6998742,20,GasaE751150,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998742_GasaE751150.pairs.gz
GSM6998745,20,GasaE751153,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998745_GasaE751153.pairs.gz
GSM6998746,20,GasaE751154,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998746_GasaE751154.pairs.gz
GSM6998747,20,GasaE751155,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998747_GasaE751155.pairs.gz
GSM6998749,20,GasaE751157,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998749_GasaE751157.pairs.gz
GSM6998750,20,GasaE751158,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998750_GasaE751158.pairs.gz
GSM6998753,20,GasaE751161,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998753_GasaE751161.pairs.gz
GSM6998754,20,GasaE751162,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998754_GasaE751162.pairs.gz
GSM6998755,20,GasaE751163,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998755_GasaE751163.pairs.gz
GSM6998757,20,GasaE751165,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998757_GasaE751165.pairs.gz
GSM6998759,20,GasaE751167,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998759_GasaE751167.pairs.gz
GSM6998761,20,GasaE751169,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998761_GasaE751169.pairs.gz
GSM6998763,20,GasaE751171,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998763_GasaE751171.pairs.gz
GSM6998764,20,GasaE751172,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998764_GasaE751172.pairs.gz
GSM6998765,20,GasaE751173,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998765_GasaE751173.pairs.gz
GSM6998767,20,GasaE751175,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998767_GasaE751175.pairs.gz
GSM6998772,20,GasaE751180,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998772_GasaE751180.pairs.gz
