2025-09-09 20:32:50 - root - INFO - 日志系统初始化完成，日志文件: /Volumes/SumSung500/CSU/0_HiRES/4_contact_decay_profile_2_h5ad/json2h5ad/logs/stage_E75_processing_20250909_203250.log
2025-09-09 20:32:50 - root - INFO - 开始处理 Stage E75
2025-09-09 20:32:50 - root - INFO - 系统信息: {'platform': 'darwin', 'python_version': '3.12.11 | packaged by conda-forge | (main, Jun  4 2025, 14:38:53) [Clang 18.1.8 ]', 'cpu_count': 10, 'memory_total_gb': 24.0, 'memory_available_gb': 4.5019683837890625, 'current_time': '2025-09-09T20:32:50.496547'}
2025-09-09 20:32:50 - metadata_processor - INFO - 加载元数据文件: /Volumes/SumSung500/CSU/0_HiRES/4_contact_decay_profile_2_h5ad/json2h5ad/GSE223917_HiRES_emb_metadata.xlsx
2025-09-09 20:32:51 - metadata_processor - INFO - 成功加载元数据: 7469 个细胞记录
2025-09-09 20:32:51 - root - INFO - 找到 115 个JSON文件
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751001_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751006_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751008_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751010_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751011_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751013_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751016_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751017_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751020_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751023_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751025_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751026_decay_profile.json distances不是递增序列
