filename,chromosome_count,cellname,stage,celltype
GSM6998595,20,GasaE751001,E75,ExE ectoderm
GSM6998596,21,GasaE751002,E75,neural ectoderm
GSM6998597,21,GasaE751003,E75,ExE mesoderm
GSM6998598,21,GasaE751004,E75,early mesenchyme
GSM6998599,21,GasaE751005,E75,ExE endoderm
GSM6998600,20,GasaE751006,E75,ExE endoderm
GSM6998601,21,GasaE751007,E75,mitosis
GSM6998602,20,GasaE751008,E75,blood
GSM6998603,21,GasaE751009,E75,early mesoderm
GSM6998604,20,GasaE751010,E75,neural ectoderm
GSM6998605,20,GasaE751011,E75,ExE ectoderm
GSM6998606,21,GasaE751012,E75,epithelial cells
GSM6998607,20,GasaE751013,E75,mitosis
GSM6998608,21,GasaE751014,E75,early mesenchyme
GSM6998609,21,GasaE751015,E75,neural ectoderm
GSM6998610,20,GasaE751016,E75,ExE endoderm
GSM6998611,20,GasaE751017,E75,early mesoderm
GSM6998612,21,GasaE751018,E75,early mesenchyme
GSM6998613,21,GasaE751019,E75,neural ectoderm
GSM6998614,20,GasaE751020,E75,endoderm
GSM6998615,21,GasaE751021,E75,early mesoderm
GSM6998616,21,GasaE751022,E75,early mesoderm
GSM6998617,20,GasaE751023,E75,blood
GSM6998618,21,GasaE751024,E75,neural ectoderm
GSM6998619,20,GasaE751025,E75,ExE mesoderm
GSM6998620,20,GasaE751026,E75,blood
GSM6998621,21,GasaE751027,E75,blood
GSM6998622,21,GasaE751028,E75,blood
GSM6998623,21,GasaE751029,E75,blood
GSM6998624,21,GasaE751030,E75,mitosis
GSM6998625,20,GasaE751031,E75,early mesenchyme
GSM6998626,20,GasaE751033,E75,ExE endoderm
GSM6998627,20,GasaE751034,E75,blood
GSM6998628,21,GasaE751035,E75,blood
GSM6998629,21,GasaE751036,E75,neural ectoderm
GSM6998630,21,GasaE751037,E75,neural ectoderm
GSM6998631,20,GasaE751038,E75,blood
GSM6998632,20,GasaE751039,E75,mitosis
GSM6998633,20,GasaE751040,E75,neural ectoderm
GSM6998634,21,GasaE751041,E75,neural ectoderm
GSM6998635,21,GasaE751042,E75,blood
GSM6998636,20,GasaE751043,E75,early mesenchyme
GSM6998637,21,GasaE751044,E75,blood
GSM6998638,20,GasaE751045,E75,ExE mesoderm
GSM6998639,20,GasaE751046,E75,ExE endoderm
GSM6998640,20,GasaE751047,E75,blood
GSM6998641,21,GasaE751048,E75,endoderm
GSM6998642,21,GasaE751049,E75,ExE ectoderm
GSM6998643,21,GasaE751050,E75,blood
GSM6998644,21,GasaE751051,E75,mitosis
GSM6998645,21,GasaE751052,E75,blood
GSM6998646,21,GasaE751053,E75,mitosis
GSM6998647,20,GasaE751054,E75,ExE ectoderm
GSM6998648,20,GasaE751055,E75,endoderm
GSM6998649,20,GasaE751056,E75,early mesoderm
GSM6998650,20,GasaE751057,E75,ExE ectoderm
GSM6998651,20,GasaE751058,E75,ExE mesoderm
GSM6998652,20,GasaE751059,E75,early mesenchyme
GSM6998653,21,GasaE751060,E75,ExE endoderm
GSM6998654,20,GasaE751061,E75,endoderm
GSM6998655,20,GasaE751062,E75,endoderm
GSM6998656,21,GasaE751063,E75,ExE ectoderm
GSM6998657,20,GasaE751064,E75,epiblast and PS
GSM6998658,21,GasaE751065,E75,ExE endoderm
GSM6998659,21,GasaE751066,E75,ExE endoderm
