filename,chromosome_count,cellname,stage,celltype,filepath
GSM6998595,20,GasaE751001,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998595_GasaE751001.pairs.gz
GSM6998596,21,GasaE751002,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998596_GasaE751002.pairs.gz
GSM6998597,21,GasaE751003,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998597_GasaE751003.pairs.gz
GSM6998598,21,GasaE751004,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998598_GasaE751004.pairs.gz
GSM6998599,21,GasaE751005,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998599_GasaE751005.pairs.gz
GSM6998600,20,GasaE751006,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998600_GasaE751006.pairs.gz
GSM6998601,21,GasaE751007,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998601_GasaE751007.pairs.gz
GSM6998602,20,GasaE751008,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998602_GasaE751008.pairs.gz
GSM6998603,21,GasaE751009,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998603_GasaE751009.pairs.gz
GSM6998604,20,GasaE751010,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998604_GasaE751010.pairs.gz
GSM6998605,20,GasaE751011,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998605_GasaE751011.pairs.gz
GSM6998606,21,GasaE751012,E75,epithelial cells,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998606_GasaE751012.pairs.gz
GSM6998607,20,GasaE751013,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998607_GasaE751013.pairs.gz
GSM6998608,21,GasaE751014,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998608_GasaE751014.pairs.gz
GSM6998609,21,GasaE751015,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998609_GasaE751015.pairs.gz
GSM6998610,20,GasaE751016,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998610_GasaE751016.pairs.gz
GSM6998611,20,GasaE751017,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998611_GasaE751017.pairs.gz
GSM6998612,21,GasaE751018,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998612_GasaE751018.pairs.gz
GSM6998613,21,GasaE751019,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998613_GasaE751019.pairs.gz
GSM6998614,20,GasaE751020,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998614_GasaE751020.pairs.gz
GSM6998615,21,GasaE751021,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998615_GasaE751021.pairs.gz
GSM6998616,21,GasaE751022,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998616_GasaE751022.pairs.gz
GSM6998617,20,GasaE751023,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998617_GasaE751023.pairs.gz
GSM6998618,21,GasaE751024,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998618_GasaE751024.pairs.gz
GSM6998619,20,GasaE751025,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998619_GasaE751025.pairs.gz
GSM6998620,20,GasaE751026,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998620_GasaE751026.pairs.gz
GSM6998621,21,GasaE751027,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998621_GasaE751027.pairs.gz
GSM6998622,21,GasaE751028,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998622_GasaE751028.pairs.gz
GSM6998623,21,GasaE751029,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998623_GasaE751029.pairs.gz
GSM6998624,21,GasaE751030,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998624_GasaE751030.pairs.gz
GSM6998625,20,GasaE751031,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998625_GasaE751031.pairs.gz
GSM6998626,20,GasaE751033,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998626_GasaE751033.pairs.gz
GSM6998627,20,GasaE751034,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998627_GasaE751034.pairs.gz
GSM6998628,21,GasaE751035,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998628_GasaE751035.pairs.gz
GSM6998629,21,GasaE751036,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998629_GasaE751036.pairs.gz
