Cellname	pairs	order_index	near_p	mitotic_p	farAvg	NaganoCellcycle	repli_score	annote_ratio
GasaE751001	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998595_GasaE751001.pairs.gz	6337	0.512111712738672	0.2024793388429752	20006475.718935497	G1	0.5856029256086999	0.9945218865438286
GasaE751002	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998596_GasaE751002.pairs.gz	1728	0.6853964523953912	0.11900520517485344	27242188.3276059	early/mid-S	0.6182451869882717	0.9952423102456296
GasaE751003	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998597_GasaE751003.pairs.gz	1669	0.7383543943409037	0.12179613528686041	22880309.79909884	early/mid-S	0.5488041033381827	0.9945580122841949
GasaE751004	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998598_GasaE751004.pairs.gz	7037	0.6027269797057733	0.3413711526415335	13854623.396645984	Pre-M	0.5297327421791792	0.9938671884675402
GasaE751005	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998599_GasaE751005.pairs.gz	7081	0.405740713174793	0.22898690579460937	18797081.498173133	G1	0.49261084718140213	0.9925732685134274
GasaE751006	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998600_GasaE751006.pairs.gz	23	0.75351137487636	0.09655927652960294	25775040.55981661	early/mid-S	0.5787136214628951	0.9941318288190836
GasaE751007	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998601_GasaE751007.pairs.gz	7431	0.3863833964830779	0.2383723728155589	19049220.853542875	G1	0.5036699155357766	0.9932301948843457
GasaE751008	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998602_GasaE751008.pairs.gz	5836	0.5412074106839265	0.17643253262560518	24563163.802405894	G1	0.5825766250841862	0.9940288082090712
GasaE751009	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998603_GasaE751009.pairs.gz	37	0.769243676328705	0.1008012081043668	24373702.2802002	early/mid-S	0.619988220801525	0.9951691798620664
GasaE751010	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998604_GasaE751010.pairs.gz	1599	0.7834463251692405	0.10309206980274642	23908413.57826217	early/mid-S	0.5255879717073763	0.9947228044117069
GasaE751011	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998605_GasaE751011.pairs.gz	6802	0.47158266998696763	0.2155666640153207	18697008.830136504	G1	0.4936868568646361	0.9931952884336289
GasaE751012	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998606_GasaE751012.pairs.gz	5444	0.5691596949035288	0.16451993035076715	24988464.53407013	G1	0.5253594516379373	0.9939922547299286
GasaE751013	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998607_GasaE751013.pairs.gz	7444	0.40010054114794336	0.25661058047727475	17404236.30460274	G1	0.515611810410361	0.9939115105330169
GasaE751014	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998608_GasaE751014.pairs.gz	4845	0.6172115135039139	0.15413723856231473	23361623.810787782	G1	0.5217457486026876	0.9941324771078607
GasaE751015	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998609_GasaE751015.pairs.gz	5669	0.7658519811326876	0.14934243393521013	19608660.54974105	Pre-M	0.5363045116722487	0.9946168397829765
GasaE751016	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998610_GasaE751016.pairs.gz	169	0.7495710543275387	0.09987529189229906	25392263.83480826	early/mid-S	0.611673915507747	0.9943679786174103
GasaE751017	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998611_GasaE751017.pairs.gz	6933	0.612263970883435	0.28083927313891577	15535992.602302874	Pre-M	0.5249114271843658	0.9940348920083046
GasaE751018	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998612_GasaE751018.pairs.gz	2215	0.7019145197727221	0.13041097140770827	24605563.801732853	early/mid-S	0.5924475014804355	0.9954106500250536
GasaE751019	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998613_GasaE751019.pairs.gz	3655	0.6649452536071222	0.1406351263771873	26212270.608152214	early/mid-S	0.574475975555389	0.9946640838596921
GasaE751020	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998614_GasaE751020.pairs.gz	5167	0.6054676511954993	0.14069971870604783	29333362.83997586	G1	0.5818969283872941	0.9939976842749159
