filename,filepath,cellname,stage,celltype
GSM7003903_OrgcE952256.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003903_OrgcE952256.pairs.gz,OrgcE952256,E95,NMP
GSM7003927_OrgcE952282.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003927_OrgcE952282.pairs.gz,OrgcE952282,E95,mix late mesenchyme
GSM7001873_OrgaE952223.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001873_OrgaE952223.pairs.gz,OrgaE952223,E95,early mesenchyme
GSM7004300_OrgcE953277.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004300_OrgcE953277.pairs.gz,OrgcE953277,E95,early neurons
GSM7001802_OrgaE952136.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001802_OrgaE952136.pairs.gz,OrgaE952136,E95,radial glias
GSM7004132_OrgcE953105.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004132_OrgcE953105.pairs.gz,OrgcE953105,E95,radial glias
GSM7003704_OrgcE952053.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003704_OrgcE952053.pairs.gz,OrgcE952053,E95,notochord
GSM7004273_OrgcE953249.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004273_OrgcE953249.pairs.gz,OrgcE953249,E95,mix late mesenchyme
GSM7004057_OrgcE953030.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004057_OrgcE953030.pairs.gz,OrgcE953030,E95,notochord
GSM7003911_OrgcE952265.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003911_OrgcE952265.pairs.gz,OrgcE952265,E95,mix late mesenchyme
GSM7004196_OrgcE953170.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004196_OrgcE953170.pairs.gz,OrgcE953170,E95,radial glias
GSM7002022_OrgaE952376.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7002022_OrgaE952376.pairs.gz,OrgaE952376,E95,intermediate mesoderm
GSM7004294_OrgcE953271.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004294_OrgcE953271.pairs.gz,OrgcE953271,E95,mix late mesenchyme
GSM7004020_OrgcE952377.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004020_OrgcE952377.pairs.gz,OrgcE952377,E95,mix late mesenchyme
GSM7004054_OrgcE953027.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004054_OrgcE953027.pairs.gz,OrgcE953027,E95,notochord
GSM7001814_OrgaE952148.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001814_OrgaE952148.pairs.gz,OrgaE952148,E95,myocytes
GSM7004147_OrgcE953120.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004147_OrgcE953120.pairs.gz,OrgcE953120,E95,mix late mesenchyme
GSM7004110_OrgcE953083.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004110_OrgcE953083.pairs.gz,OrgcE953083,E95,radial glias
GSM7003944_OrgcE952300.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003944_OrgcE952300.pairs.gz,OrgcE952300,E95,notochord
GSM7004072_OrgcE953045.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004072_OrgcE953045.pairs.gz,OrgcE953045,E95,radial glias
GSM7003967_OrgcE952323.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003967_OrgcE952323.pairs.gz,OrgcE952323,E95,radial glias
GSM7004357_OrgcE953335.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004357_OrgcE953335.pairs.gz,OrgcE953335,E95,blood
GSM7001869_OrgaE952219.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001869_OrgaE952219.pairs.gz,OrgaE952219,E95,radial glias
GSM7003762_OrgcE952112.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003762_OrgcE952112.pairs.gz,OrgcE952112,E95,mix late mesenchyme
GSM7004279_OrgcE953255.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004279_OrgcE953255.pairs.gz,OrgcE953255,E95,radial glias
GSM7004167_OrgcE953141.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004167_OrgcE953141.pairs.gz,OrgcE953141,E95,blood
GSM7001963_OrgaE952317.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001963_OrgaE952317.pairs.gz,OrgaE952317,E95,mix late mesenchyme
GSM7001697_OrgaE952026.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001697_OrgaE952026.pairs.gz,OrgaE952026,E95,radial glias
GSM7003886_OrgcE952237.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003886_OrgcE952237.pairs.gz,OrgcE952237,E95,blood
GSM7004014_OrgcE952371.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004014_OrgcE952371.pairs.gz,OrgcE952371,E95,notochord
GSM7004336_OrgcE953313.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004336_OrgcE953313.pairs.gz,OrgcE953313,E95,mix late mesenchyme
GSM7002029_OrgaE952383.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7002029_OrgaE952383.pairs.gz,OrgaE952383,E95,early mesenchyme
GSM7001709_OrgaE952039.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001709_OrgaE952039.pairs.gz,OrgaE952039,E95,radial glias
GSM7001765_OrgaE952099.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001765_OrgaE952099.pairs.gz,OrgaE952099,E95,notochord
GSM7004194_OrgcE953168.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004194_OrgcE953168.pairs.gz,OrgcE953168,E95,radial glias
GSM7004245_OrgcE953220.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004245_OrgcE953220.pairs.gz,OrgcE953220,E95,radial glias
GSM7001819_OrgaE952169.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001819_OrgaE952169.pairs.gz,OrgaE952169,E95,early neurons
GSM7004218_OrgcE953193.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004218_OrgcE953193.pairs.gz,OrgcE953193,E95,radial glias
GSM7001981_OrgaE952335.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001981_OrgaE952335.pairs.gz,OrgaE952335,E95,early neurons
GSM7001788_OrgaE952122.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001788_OrgaE952122.pairs.gz,OrgaE952122,E95,mix late mesenchyme
GSM7004015_OrgcE952372.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004015_OrgcE952372.pairs.gz,OrgcE952372,E95,intermediate mesoderm
GSM7001808_OrgaE952142.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001808_OrgaE952142.pairs.gz,OrgaE952142,E95,early neurons
GSM7001844_OrgaE952194.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001844_OrgaE952194.pairs.gz,OrgaE952194,E95,mix late mesenchyme
GSM7004035_OrgcE953008.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004035_OrgcE953008.pairs.gz,OrgcE953008,E95,notochord
GSM7003663_OrgcE952011.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003663_OrgcE952011.pairs.gz,OrgcE952011,E95,mitosis
GSM7004021_OrgcE952378.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004021_OrgcE952378.pairs.gz,OrgcE952378,E95,intermediate mesoderm
GSM7003874_OrgcE952225.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003874_OrgcE952225.pairs.gz,OrgcE952225,E95,intermediate mesoderm
GSM7001955_OrgaE952309.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001955_OrgaE952309.pairs.gz,OrgaE952309,E95,intermediate mesoderm
GSM7003892_OrgcE952244.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003892_OrgcE952244.pairs.gz,OrgcE952244,E95,intermediate mesoderm
GSM7004275_OrgcE953251.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004275_OrgcE953251.pairs.gz,OrgcE953251,E95,intermediate mesoderm
GSM7001676_OrgaE952004.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001676_OrgaE952004.pairs.gz,OrgaE952004,E95,oligodendrocytes and progenitors
GSM7001809_OrgaE952143.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001809_OrgaE952143.pairs.gz,OrgaE952143,E95,radial glias
GSM7004220_OrgcE953195.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004220_OrgcE953195.pairs.gz,OrgcE953195,E95,mitosis
GSM7004183_OrgcE953157.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004183_OrgcE953157.pairs.gz,OrgcE953157,E95,schwann cell precursors
GSM7004251_OrgcE953226.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004251_OrgcE953226.pairs.gz,OrgcE953226,E95,mitosis
GSM7001839_OrgaE952189.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001839_OrgaE952189.pairs.gz,OrgaE952189,E95,epithelial cells
GSM7003968_OrgcE952324.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003968_OrgcE952324.pairs.gz,OrgcE952324,E95,mitosis
GSM7003999_OrgcE952355.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003999_OrgcE952355.pairs.gz,OrgcE952355,E95,mitosis
GSM7003752_OrgcE952101.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003752_OrgcE952101.pairs.gz,OrgcE952101,E95,epithelial cells
GSM7003778_OrgcE952128.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003778_OrgcE952128.pairs.gz,OrgcE952128,E95,blood
GSM7004401_OrgcE953381.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004401_OrgcE953381.pairs.gz,OrgcE953381,E95,intermediate mesoderm
GSM7004304_OrgcE953281.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004304_OrgcE953281.pairs.gz,OrgcE953281,E95,blood
GSM7004104_OrgcE953077.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004104_OrgcE953077.pairs.gz,OrgcE953077,E95,epithelial cells
GSM7001744_OrgaE952077.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001744_OrgaE952077.pairs.gz,OrgaE952077,E95,notochord
GSM7001681_OrgaE952009.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001681_OrgaE952009.pairs.gz,OrgaE952009,E95,radial glias
GSM7004019_OrgcE952376.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004019_OrgcE952376.pairs.gz,OrgcE952376,E95,early mesenchyme
GSM7003838_OrgcE952188.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003838_OrgcE952188.pairs.gz,OrgcE952188,E95,intermediate mesoderm
GSM7001799_OrgaE952133.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001799_OrgaE952133.pairs.gz,OrgaE952133,E95,mitosis
GSM7001962_OrgaE952316.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001962_OrgaE952316.pairs.gz,OrgaE952316,E95,radial glias
GSM7004096_OrgcE953069.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004096_OrgcE953069.pairs.gz,OrgcE953069,E95,mix late mesenchyme
